name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,IsData,generator,additionalSelection,run
,,,,,,,,,,
ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8_0,/ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8/RunIIFall17MiniAOD-94X_mc2017_realistic_v10-v1/MINIAODSIM,8000000,0.979062139616,0.2953,3.77018970568e-05,/ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8/mwassmer-KIT_tthbb_sl_skims_v1-244f1a72b39c962d3fcc27669ed46c23/USER,94X_mc2017_realistic_v13,FALSE,POWHEG,NONE,
ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8_1,/ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8/RunIIFall17MiniAOD-PU2017_94X_mc2017_realistic_v11-v1/MINIAODSIM,2170776,0.97887905746,0.2953,0.000138969469112,,look at me again,look at me again,POWHEG,NONE,
ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8_2,/ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,8000000,0.979704677964,0.2953,3.76771703047e-05,,94X_mc2017_realistic_v13,FALSE,POWHEG,NONE,
,,,,,,,,,,
ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8_0,/ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8/RunIIFall17MiniAOD-94X_mc2017_realistic_v10-v1/MINIAODSIM,7669336,0.981346134112,0.2118,2.81414178561e-05,,94X_mc2017_realistic_v13,FALSE,POWHEG,NONE,
ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8_1,/ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8/RunIIFall17MiniAOD-PU2017_94X_mc2017_realistic_v11-v1/MINIAODSIM,1293724,0.980353678892,0.2118,0.000166994257826,,look at me again,look at me again,POWHEG,NONE,
ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8_2,/ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,7669336,0.980856458167,0.2118,2.81554669815e-05,,94X_mc2017_realistic_v13,FALSE,POWHEG,NONE,
,,,,,,,,,,
TTToSemiLeptonic_TuneCP5_PSweights_13TeV-powheg-pythia8_0,/TTToSemiLeptonic_TuneCP5_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAOD-94X_mc2017_realistic_v10-v1/MINIAODSIM,111381888,0.991638418079,365.46,0.00330881077094,/TTToSemiLeptonic_TuneCP5_PSweights_13TeV-powheg-pythia8/mwassmer-KIT_tthbb_sl_skims_v1-244f1a72b39c962d3fcc27669ed46c23/USER,94X_mc2017_realistic_v13,FALSE,POWHEG,NONE,
TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8_1,/TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8/RunIIFall17MiniAOD-94X_mc2017_realistic_v10-v1/MINIAODSIM,41161951,0.991843864025,365.46,0.00895159835118,/TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8/mwassmer-KIT_tthbb_sl_skims_v1-244f1a72b39c962d3fcc27669ed46c23/USER,94X_mc2017_realistic_v13,FALSE,POWHEG,NONE,
TTToSemiLeptonic_TuneCP5up_PSweights_13TeV-powheg-pythia8_2,/TTToSemiLeptonic_TuneCP5up_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAOD-94X_mc2017_realistic_v10-v1/MINIAODSIM,26050220,0.992553278354,365.46,0.0141343104602,,94X_mc2017_realistic_v13,FALSE,POWHEG,NONE,
TTToSemiLeptonic_TuneCP5down_PSweights_13TeV-powheg-pythia8_3,/TTToSemiLeptonic_TuneCP5down_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAOD-94X_mc2017_realistic_v10-v1/MINIAODSIM,26800426,0.992434146023,365.46,0.0137403075679,,94X_mc2017_realistic_v13,FALSE,POWHEG,NONE,
TTToSemiLeptonic_TuneCP5down_PSweights_13TeV-powheg-pythia8_4,/TTToSemiLeptonic_TuneCP5down_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAOD-PU2017_94X_mc2017_realistic_v11-v1/MINIAODSIM,9095495,0.992133106161,365.46,0.0404989318293,,look at me again,look at me again,POWHEG,NONE,
