name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,isData,generator,additionalSelection,run
,,,,,,,,,,,
ttHTobb_M125_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8,/ttHTobb_M125_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v2/MINIAODSIM,3872944,0.563117319566,0.2953,0.000135401459157,/ttHTobb_M125_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8/swieland-KIT_tthbb_skims_MC_94X_LEG_2016-e7ebd256f4e1376707d82db477ee913f/USER,94X_mcRun2_asymptotic_v3,FALSE,POWHEG,NONE,2016
,,,,,,,,,,,
ttHToNonbb_M125_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8,/ttHToNonbb_M125_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v2/MINIAODSIM,3981250,0.563292128109,0.2118,9.44436632465e-05,/ttHToNonbb_M125_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8/swieland-KIT_tthbb_skims_MC_94X_LEG_2016-e7ebd256f4e1376707d82db477ee913f/USER,94X_mcRun2_asymptotic_v3,FALSE,POWHEG,NONE,2016
,,,,,,,,,,,
TT_TuneCUETP8M2T4_13TeV-powheg-pythia8,/TT_TuneCUETP8M2T4_13TeV-powheg-pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v1/MINIAODSIM,76915549,1.0,831.76,0.0108139382844,/TT_TuneCUETP8M2T4_13TeV-powheg-pythia8/swieland-KIT_tthbb_skims_MC_94X_LEG_2016-e7ebd256f4e1376707d82db477ee913f/USER,94X_mcRun2_asymptotic_v3,FALSE,POWHEG,NONE,2016
,,,,,,,,,,,
TTToSemilepton_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8,/TTToSemilepton_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v2/MINIAODSIM,152669800,1.0,365.46,0.0023937936645,/TTToSemilepton_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8/swieland-KIT_tthbb_skims_MC_94X_LEG_2016-e7ebd256f4e1376707d82db477ee913f/USER,94X_mcRun2_asymptotic_v3,FALSE,POWHEG,NONE,2016
,,,,,,,,,,,
TTTo2L2Nu_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8,/TTTo2L2Nu_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v2/MINIAODSIM,79140880,1.0,88.34,0.00111623727206,/TTTo2L2Nu_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8/swieland-KIT_tthbb_skims_MC_94X_LEG_2016-e7ebd256f4e1376707d82db477ee913f/USER,94X_mcRun2_asymptotic_v3,FALSE,POWHEG,NONE,2016
,,,,,,,,,,,
ST_s-channel_4f_leptonDecays_13TeV-amcatnlo-pythia8_TuneCUETP8M1,/ST_s-channel_4f_leptonDecays_13TeV-amcatnlo-pythia8_TuneCUETP8M1/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v1/MINIAODSIM,1000000,3.3732961353,3.7,0.00109685003972,/ST_s-channel_4f_leptonDecays_13TeV-amcatnlo-pythia8_TuneCUETP8M1/swieland-KIT_tthbb_skims_MC_94X_LEG_2016-e7ebd256f4e1376707d82db477ee913f/USER,94X_mcRun2_asymptotic_v3,FALSE,aMC,NONE,2016
,,,,,,,,,,,
ST_t-channel_top_4f_inclusiveDecays_13TeV-powhegV2-madspin-pythia8_TuneCUETP8M1,/ST_t-channel_top_4f_inclusiveDecays_13TeV-powhegV2-madspin-pythia8_TuneCUETP8M1/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v1/MINIAODSIM,67105876,1.0,136.02,0.0020269461947,/ST_t-channel_top_4f_inclusiveDecays_13TeV-powhegV2-madspin-pythia8_TuneCUETP8M1/swieland-KIT_tthbb_skims_MC_94X_LEG_2016-e7ebd256f4e1376707d82db477ee913f/USER,94X_mcRun2_asymptotic_v3,FALSE,POWHEG,NONE,2016
,,,,,,,,,,,
