name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,isData,generator,additionalSelection,run
,,,,,,,,,,,
ZJetsToNuNu_HT-100To200_13TeV-madgraph,/ZJetsToNuNu_HT-100To200_13TeV-madgraph/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,23702894,0.998915686139,302.8,0.0127886783207,"/pnfs/desy.de/cms/tier2/store/user/mwassmer/ZJetsToNuNu_HT-100To200_13TeV-madgraph/KIT_Monotop_skims_102X/190628_112622/0000",102X_upgrade2018_realistic_v19,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
ZJetsToNuNu_HT-200To400_13TeV-madgraph,/ZJetsToNuNu_HT-200To400_13TeV-madgraph/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,23276346,0.998122788613,92.59,0.00398533936108,"/pnfs/desy.de/cms/tier2/store/user/mwassmer/ZJetsToNuNu_HT-200To400_13TeV-madgraph/KIT_Monotop_skims_102X/190628_113236/0000",102X_upgrade2018_realistic_v19,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
ZJetsToNuNu_HT-400To600_13TeV-madgraph_v2,/ZJetsToNuNu_HT-400To600_13TeV-madgraph/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v2/MINIAODSIM,9511100,0.997280519226,13.18,0.00138952807731,"/pnfs/desy.de/cms/tier2/store/user/mwassmer/ZJetsToNuNu_HT-400To600_13TeV-madgraph/KIT_Monotop_skims_102X/190628_113840/0000",102X_upgrade2018_realistic_v19,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
ZJetsToNuNu_HT-600To800_13TeV-madgraph,/ZJetsToNuNu_HT-600To800_13TeV-madgraph/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,5748975,0.995914949306,3.257,0.000568859594048,"/pnfs/desy.de/cms/tier2/store/user/mwassmer/ZJetsToNuNu_HT-600To800_13TeV-madgraph/KIT_Monotop_skims_102X/190628_114140/0000",102X_upgrade2018_realistic_v19,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
ZJetsToNuNu_HT-800To1200_13TeV-madgraph,/ZJetsToNuNu_HT-800To1200_13TeV-madgraph/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,2066798,0.995088259089,1.49,0.000724480388473,"/pnfs/desy.de/cms/tier2/store/user/mwassmer/ZJetsToNuNu_HT-800To1200_13TeV-madgraph/KIT_Monotop_skims_102X/190628_114437/0000",102X_upgrade2018_realistic_v19,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
ZJetsToNuNu_HT-1200To2500_13TeV-madgraph,/ZJetsToNuNu_HT-1200To2500_13TeV-madgraph/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,343198,0.991025768347,0.3419,0.00100523917591,"/pnfs/desy.de/cms/tier2/store/user/mwassmer/ZJetsToNuNu_HT-1200To2500_13TeV-madgraph/KIT_Monotop_skims_102X/190628_112931/0000",102X_upgrade2018_realistic_v19,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
ZJetsToNuNu_HT-2500ToInf_13TeV-madgraph,/ZJetsToNuNu_HT-2500ToInf_13TeV-madgraph/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,359639,0.974504845898,0.005146,1.46831419508e-05,"/pnfs/desy.de/cms/tier2/store/user/mwassmer/ZJetsToNuNu_HT-2500ToInf_13TeV-madgraph/KIT_Monotop_skims_102X/190628_113538/0000",102X_upgrade2018_realistic_v19,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8,/DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,100194597,0.999184226206,6225.42,0.0621840185735,,102X_upgrade2018_realistic_v19,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
DYJetsToLL_M-50_TuneCP5_13TeV-amcatnloFXFX-pythia8,/DYJetsToLL_M-50_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,997561,17864.0648727,6225.42,0.000349340475849,,102X_upgrade2018_realistic_v19,FALSE,aMC,NONE,2018
,,,,,,,,,,,
