name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,isData,generator,additionalSelection,run
,,,,,,,,,,,
ZJetsToNuNu_HT-100To200_13TeV-madgraph,/ZJetsToNuNu_HT-100To200_13TeV-madgraph/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,23702894,0.99889084877,302.8,0.0127889963106,/ZJetsToNuNu_HT-100To200_13TeV-madgraph/mwassmer-KIT_Monotop_skims_102X_v1-68e97e16c88948904ed0cae9dc5f7861/USER,102X_upgrade2018_realistic_v20,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
ZJetsToNuNu_HT-200To400_13TeV-madgraph,/ZJetsToNuNu_HT-200To400_13TeV-madgraph/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,23276346,0.998167404062,92.59,0.00398516122693,/ZJetsToNuNu_HT-200To400_13TeV-madgraph/mwassmer-KIT_Monotop_skims_102X_v1-68e97e16c88948904ed0cae9dc5f7861/USER,102X_upgrade2018_realistic_v20,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
ZJetsToNuNu_HT-400To600_13TeV-madgraph,/ZJetsToNuNu_HT-400To600_13TeV-madgraph/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v2/MINIAODSIM,9511100,0.997067314921,13.18,0.00138982520205,/ZJetsToNuNu_HT-400To600_13TeV-madgraph/mwassmer-KIT_Monotop_skims_102X_v1-68e97e16c88948904ed0cae9dc5f7861/USER,102X_upgrade2018_realistic_v20,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
ZJetsToNuNu_HT-600To800_13TeV-madgraph,/ZJetsToNuNu_HT-600To800_13TeV-madgraph/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,5748975,0.996104211223,3.257,0.000568751509516,/ZJetsToNuNu_HT-600To800_13TeV-madgraph/mwassmer-KIT_Monotop_skims_102X_v1-68e97e16c88948904ed0cae9dc5f7861/USER,102X_upgrade2018_realistic_v20,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
ZJetsToNuNu_HT-800To1200_13TeV-madgraph,/ZJetsToNuNu_HT-800To1200_13TeV-madgraph/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,2066798,0.994785258971,1.49,0.000724701056844,/ZJetsToNuNu_HT-800To1200_13TeV-madgraph/mwassmer-KIT_Monotop_skims_102X_v1-68e97e16c88948904ed0cae9dc5f7861/USER,102X_upgrade2018_realistic_v20,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
ZJetsToNuNu_HT-1200To2500_13TeV-madgraph,/ZJetsToNuNu_HT-1200To2500_13TeV-madgraph/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,343198,0.991155131246,0.3419,0.0010051079748,/ZJetsToNuNu_HT-1200To2500_13TeV-madgraph/mwassmer-KIT_Monotop_skims_102X_v1-68e97e16c88948904ed0cae9dc5f7861/USER,102X_upgrade2018_realistic_v20,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
ZJetsToNuNu_HT-2500ToInf_13TeV-madgraph,/ZJetsToNuNu_HT-2500ToInf_13TeV-madgraph/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,359639,0.974257611584,0.005146,1.46868680459e-05,/ZJetsToNuNu_HT-2500ToInf_13TeV-madgraph/mwassmer-KIT_Monotop_skims_102X_v1-68e97e16c88948904ed0cae9dc5f7861/USER,102X_upgrade2018_realistic_v20,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
