name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,isData,generator,additionalSelection,run
,,,,,,,,,,,
VectorMonotop_Mphi_200_Mchi_50,,149154,58.0822598044,5.817e+01,0.00011543,"/nfs/dust/cms/user/mwassmer/MonoTop/signals_skims/2018/VectorMonotop_Mphi_200_Mchi_50",102X_upgrade2018_realistic_v20,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
VectorMonotop_Mphi_195_Mchi_100,,149091,4.96194541094,4.958,0.00135175,"/nfs/dust/cms/user/mwassmer/MonoTop/signals_skims/2018/VectorMonotop_Mphi_195_Mchi_100",102X_upgrade2018_realistic_v20,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
VectorMonotop_Mphi_200_Mchi_150,,149700,0.248386028428,0.2488,0.0268937,"/nfs/dust/cms/user/mwassmer/MonoTop/signals_skims/2018/VectorMonotop_Mphi_200_Mchi_150",102X_upgrade2018_realistic_v20,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
,,,,,,,,,,,
VectorMonotop_Mphi_300_Mchi_100,,149564,18.8035490754,18.86,0.000356,"/nfs/dust/cms/user/mwassmer/MonoTop/signals_skims/2018/VectorMonotop_Mphi_300_Mchi_100",102X_upgrade2018_realistic_v20,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
VectorMonotop_Mphi_295_Mchi_150,,149434,2.34088429909,2.352,0.00286,"/nfs/dust/cms/user/mwassmer/MonoTop/signals_skims/2018/VectorMonotop_Mphi_295_Mchi_150",102X_upgrade2018_realistic_v20,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
VectorMonotop_Mphi_300_Mchi_300,,148064,0.0179383415207,0.01786,0.3765,"/nfs/dust/cms/user/mwassmer/MonoTop/signals_skims/2018/VectorMonotop_Mphi_300_Mchi_300",102X_upgrade2018_realistic_v20,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
,,,,,,,,,,,
VectorMonotop_Mphi_500_Mchi_150,,147915,4.18413399802,4.198,0.00162,"/nfs/dust/cms/user/mwassmer/MonoTop/signals_skims/2018/VectorMonotop_Mphi_500_Mchi_150",102X_upgrade2018_realistic_v20,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
VectorMonotop_Mphi_495_Mchi_250,,149350,0.676492289035,0.6806,0.0099,"/nfs/dust/cms/user/mwassmer/MonoTop/signals_skims/2018/VectorMonotop_Mphi_495_Mchi_250",102X_upgrade2018_realistic_v20,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
VectorMonotop_Mphi_500_Mchi_500,,147603,0.00206752844521,0.002073,3.27683,"/nfs/dust/cms/user/mwassmer/MonoTop/signals_skims/2018/VectorMonotop_Mphi_500_Mchi_500",102X_upgrade2018_realistic_v20,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
,,,,,,,,,,,
