name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,isData,generator,additionalSelection
,,,,,,,,,,
ttHbb,/ttHTobb_M125_13TeV_powheg_pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v1/MINIAODSIM,3772012,1,0.2918,0.00007736,/ttHTobb_M125_13TeV_powheg_pythia8/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,POWHEG,NONE
ttHnonbb,/ttHToNonbb_M125_13TeV_powheg_pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v1/MINIAODSIM,3945824,1,0.214,0.00005423,/ttHToNonbb_M125_13TeV_powheg_pythia8/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,POWHEG,NONE
,,,,,,,,,,
ttbar_incl_SL,/TT_TuneCUETP8M1_13TeV-powheg-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0_ext3-v1/MINIAODSIM,42928425,1,364.31088,0.000919641,/TT_TuneCUETP8M1_13TeV-powheg-pythia8/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,POWHEG,GenTopSLSelection
ttbar_incl_DL,/TT_TuneCUETP8M1_13TeV-powheg-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0_ext3-v1/MINIAODSIM,10279617,1,87.3348,0.000707116,/TT_TuneCUETP8M1_13TeV-powheg-pythia8/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,POWHEG,GenTopDLSelection
ttbar_incl_FH,/TT_TuneCUETP8M1_13TeV-powheg-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0_ext3-v1/MINIAODSIM,44773661,1,380.11432,0.0084896859,/TT_TuneCUETP8M1_13TeV-powheg-pythia8/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,POWHEG,GenTopFHSelection
ttbar_excl_SL,/TTToSemiLeptonic_13TeV-powheg/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12_ext1-v1/MINIAODSIM,353216236,1,364.31088,0.000919641,/TTToSemiLeptonic_13TeV-powheg/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,POWHEG,NONE
ttbar_excl_DL,"/TTTo2L2Nu_13TeV-powheg/RunIIFall15MiniAODv1-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/MINIAODSIM,/TTTo2L2Nu_13TeV-powheg/RunIIFall15MiniAODv1-PU25nsData2015v1_76X_mcRun2_asymptotic_v12_ext1-v1/MINIAODSIM",113228758,1,87.3348,0.000707116,/TTTo2L2Nu_13TeV-powheg/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,POWHEG,NONE
,,,,,,,,,,
