name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,isData
,,,,,,,,,
ttHbb,/ttHTobb_M125_13TeV_powheg_pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,3933404,1,0.2934,0.00007459,/ttHTobb_M125_13TeV_powheg_pythia8/hmildner-Boostedv3MiniAOD-48d296d5134b571af584b706fd9b3b0a/USER,74X_mcRun2_asymptotic_v4,FALSE
ttHnonbb,/ttHToNonbb_M125_13TeV_powheg_pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,3913550,1,0.2151,0.00005496,/ttHToNonbb_M125_13TeV_powheg_pythia8/hmildner-Boostedv3MiniAOD-48d296d5134b571af584b706fd9b3b0a/USER,74X_mcRun2_asymptotic_v4,FALSE
,,,,,,,,,
st_tchan,/ST_t-channel_top_4f_leptonDecays_13TeV-powheg-pythia8_TuneCUETP8M1/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,3299800,1,45.3,0.0137281047,/ST_t-channel_top_4f_leptonDecays_13TeV-powheg-pythia8_TuneCUETP8M1/hmildner-Boostedv3MiniAOD-48d296d5134b571af584b706fd9b3b0a/USER,74X_mcRun2_asymptotic_v4,FALSE
stbar_tchan,/ST_t-channel_antitop_4f_leptonDecays_13TeV-powheg-pythia8_TuneCUETP8M1/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,1680200,1,27,0.0160695155,/ST_t-channel_antitop_4f_leptonDecays_13TeV-powheg-pythia8_TuneCUETP8M1/hmildner-Boostedv3MiniAOD-48d296d5134b571af584b706fd9b3b0a/USER,74X_mcRun2_asymptotic_v4,FALSE
,,,,,,,,,
st_tWchan,/ST_tW_top_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v2/MINIAODSIM,995600,1,35.9,0.03605866,/ST_tW_top_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1/hmildner-Boostedv3MiniAOD-48d296d5134b571af584b706fd9b3b0a/USER,74X_mcRun2_asymptotic_v4,FALSE
stbar_tWchan,/ST_tW_antitop_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,988500,1,35.9,0.03631765,/ST_tW_antitop_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1/hmildner-Boostedv3MiniAOD-48d296d5134b571af584b706fd9b3b0a/USER,74X_mcRun2_asymptotic_v4,FALSE
,,,,,,,,,
