name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,IsData,generator,additionalSelection
,,,,,,,,,,
ttHbb0,/ttHTobb_M125_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,3845992,1,0.2934,7.62872101658e-05,/ttHTobb_M125_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8/mschrode-Skim-V1_3j20_1l20-a9e761f18a2602500895f5e48b093b84/USER,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,POWHEG,none
,,,,,,,,,,
ttHnonbb0,/ttHToNonbb_M125_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,3981250,1,0.2151,5.40282574568e-05,/ttHToNonbb_M125_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8/mschrode-Skim-V1_3j20_1l20-a9e761f18a2602500895f5e48b093b84/USER,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,POWHEG,none
,,,,,,,,,,
ttbar0,/TT_TuneCUETP8M2T4_13TeV-powheg-colourFlip-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,11621730,1,831.76,0.0715693790856,,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,POWHEG,none
ttbar1,/TT_TuneCUETP8M2T4_13TeV-powheg-fsrdown-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,29716580,1,831.76,0.0279897619443,,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,POWHEG,none
ttbar2,/TT_TuneCUETP8M2T4_13TeV-powheg-isrup-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM,59033604,1,831.76,0.0140896022543,,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,POWHEG,none
ttbar3,/TT_TuneCUETP8M2T4_13TeV-powheg-pythia8-evtgen/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,9885256,1,831.76,0.0841414729168,,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,POWHEG,none
ttbar4,/TT_TuneCUETP8M2T4_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,77229341,1,831.76,0.0107699999667,/TT_TuneCUETP8M2T4_13TeV-powheg-pythia8/mschrode-Skim-V1_3j20_1l20-a9e761f18a2602500895f5e48b093b84/USER,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,POWHEG,none
ttbar5,/TT_TuneCUETP8M2T4_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_backup_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,78006311,1,831.76,0.0106627270196,,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,POWHEG,none
ttbar6,/TT_TuneCUETP8M2T4_mtop1665_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,19380254,1,831.76,0.0429179101574,,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,POWHEG,none
ttbar7,/TT_TuneCUETP8M2T4_mtop1695_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM,9954200,1,831.76,0.0835586988407,,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,POWHEG,none
ttbar8,/TT_TuneCUETP8M2T4_mtop1695_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_backup_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,29173030,1,831.76,0.0285112653708,,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,POWHEG,none
ttbar9,/TT_TuneCUETP8M2T4_mtop1715_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,19578812,1,831.76,0.0424826593156,,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,POWHEG,none
ttbar10,/TT_TuneCUETP8M2T4_mtop1735_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,19419050,1,831.76,0.042832167382,,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,POWHEG,none
ttbar11,/TT_TuneCUETP8M2T4_mtop1785_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,16377176,1,831.76,0.0507877548608,,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,POWHEG,none
ttbar12,/TT_TuneCUETP8M2T4down_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,28354188,1,831.76,0.029334643616,,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,POWHEG,none
ttbar13,/TT_TuneCUETP8M2T4up_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,29310620,1,831.76,0.0283774277037,,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,POWHEG,none
ttbar14,"/TT_TuneCUETP8M2T4_13TeV-powheg-fsrup-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,/TT_TuneCUETP8M2T4_13TeV-powheg-fsrup-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM",59230899,1,831.76,0.0140426705325,,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,POWHEG,none
ttbar15,"/TT_TuneCUETP8M2T4_13TeV-powheg-isrdown-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,/TT_TuneCUETP8M2T4_13TeV-powheg-isrdown-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM",58999580,1,831.76,0.0140977274753,,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,POWHEG,none
ttbar16,"/TT_TuneCUETP8M2T4_mtop1755_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,/TT_TuneCUETP8M2T4_mtop1755_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM",39389284,1,831.76,0.0211164031314,,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,POWHEG,none
ttbar17,"/TT_TuneEE5C_13TeV-powheg-herwigpp/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,/TT_TuneEE5C_13TeV-powheg-herwigpp/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext2-v1/MINIAODSIM",49175602,1,831.76,0.0169140786523,/TT_TuneEE5C_13TeV-powheg-herwigpp/mschrode-Skim-V1_3j20_1l20-a9e761f18a2602500895f5e48b093b84/USER,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,POWHEG,none
,,,,,,,,,,
ttbar_excl_SL0,/TTToSemilepton_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,152720952,1,364311,0.00238546836717,,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,POWHEG,none
ttbar_excl_SL1,/TTToSemilepton_ttbbFilter_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_TTbbWithttHFGenFilter_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,19072787,1,364311,0.019101088897,/TTToSemilepton_ttbbFilter_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8/mschrode-Skim-V1_3j20_1l20-a9e761f18a2602500895f5e48b093b84/USER,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,POWHEG,none
,,,,,,,,,,
ttbar_excl_DL0,/TTTo2L2Nu_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,79092400,1,87335,0.0011042148171,,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,POWHEG,none
ttbar_excl_DL1,/TTTo2L2Nu_ttbbFilter_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_TTbbWithttHFGenFilter_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,1136627,1,87335,0.0768369922587,,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,POWHEG,none
ttbar_excl_DL2,"/TTTo2L2Nu_noSC_TuneCUETP8M2T4_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,/TTTo2L2Nu_noSC_TuneCUETP8M2T4_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM",14769833,1,87335,0.00591306618023,,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,POWHEG,none
,,,,,,,,,,
ttjets0,/TTJets_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,10139950,1,831.76,0.0820280178896,,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,notSpecified,none
ttjets1,/TTJets_TuneCUETP8M2T4_13TeV-amcatnloFXFX-pythia8/RunIISummer16MiniAODv2-PUMoriond17_backup_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,43561608,0.345272342777,831.76,0.0553009174992,/TTJets_TuneCUETP8M2T4_13TeV-amcatnloFXFX-pythia8/RunIISummer16MiniAODv2-PUMoriond17_backup_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,notSpecified,none
,,,,,,,,,,
TTJETS_SLfromT0,/TTJets_SingleLeptFromT_genMET-150_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,17363624,1,182.15544,0.0104906349043,,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,notSpecified,none
TTJETS_SLfromT1,/TTJets_SingleLeptFromTbar_genMET-150_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,17264493,1,182.15544,0.0105508710855,,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,notSpecified,none
TTJETS_SLfromT2,"/TTJets_SingleLeptFromT_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,/TTJets_SingleLeptFromT_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM",61973977,1,182.15544,0.00293922463617,/TTJets_SingleLeptFromT_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/mschrode-Skim-V1_3j20_1l20-a9e761f18a2602500895f5e48b093b84/USER,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,notSpecified,none
TTJETS_SLfromT3,"/TTJets_SingleLeptFromTbar_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,/TTJets_SingleLeptFromTbar_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM",60210394,1,182.15544,0.00302531552941,/TTJets_SingleLeptFromTbar_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/mschrode-Skim-V1_3j20_1l20-a9e761f18a2602500895f5e48b093b84/USER,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,notSpecified,none
,,,,,,,,,,
TTJETS_SLfromTbar0,/TTJets_SingleLeptFromTbar_genMET-150_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,17264493,1,182.15544,0.0105508710855,,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,notSpecified,none
TTJETS_SLfromTbar1,"/TTJets_SingleLeptFromTbar_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,/TTJets_SingleLeptFromTbar_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM",60210394,1,182.15544,0.00302531552941,,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,notSpecified,none
,,,,,,,,,,
st_schan0,/ST_s-channel_4f_leptonDecays_13TeV-amcatnlo-pythia8_TuneCUETP8M1/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,1000000,0.625764705882,3.7488,0.005990750141,,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,notSpecified,none
,,,,,,,,,,
st_tchan0,/ST_t-channel_top_4f_inclusiveDecays_13TeV-powhegV2-madspin-pythia8_TuneCUETP8M1/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,67240808,1,136.02,0.00202287872567,,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,POWHEG,none
st_tchan1,/ST_t-channel_top_4f_inclusiveDecays_TuneCUETP8M2T4_13TeV-powhegV2-madspin/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,5993676,1,136.02,0.022693919391,,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,POWHEG,none
,,,,,,,,,,
stbar_tchan0,/ST_t-channel_antitop_4f_inclusiveDecays_13TeV-powhegV2-madspin-herwigpp/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,3990259,1,80.95,0.0202869036822,,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,POWHEG,none
stbar_tchan1,/ST_t-channel_antitop_4f_inclusiveDecays_13TeV-powhegV2-madspin-pythia8_TuneCUETP8M1/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,38811017,1,80.95,0.00208574797203,,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,POWHEG,none
stbar_tchan2,/ST_t-channel_antitop_4f_inclusiveDecays_TuneCUETP8M2T4_13TeV-powhegV2-madspin/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,3928063,1,80.95,0.0206081216111,,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,POWHEG,none
,,,,,,,,,,
st_tWchan0,/ST_tW_top_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM,6952830,1,35.9,0.00516336513333,,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,POWHEG,none
st_tWchan1,/ST_tW_top_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M2T4/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,992024,1,35.9,0.0361886405974,,80X_mcRun2_asymptotic_2016_TrancheIV_v8,FALSE,POWHEG,none
,,,,,,,,,,
