name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,IsData,generator,additionalSelection,isreHLT
,,,,,,,,,,,
ttbar_excl_SL,/TTToSemiLeptonic_13TeV-powheg/RunIISpring16MiniAODv1-PUSpring16_80X_mcRun2_asymptotic_2016_v3_ext1-v1/MINIAODSIM,76838104,1,364.311,0.0047412804,,80X_mcRun2_asymptotic_2016_v3,mc,powhegv2,none,isreHLT
ttbar_excl_SL,/TTToSemiLeptonic_13TeV-powheg/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0_ext1-v2/MINIAODSIM,82553420,1,364.311,0.0044130334,,80X_mcRun2_asymptotic_2016_miniAODv2_v0,mc,powhegv2,none,isreHLT
ttbar_excl_SL,/TTToSemiLeptonic_13TeV_ScaleDown-powheg/RunIISpring16MiniAODv1-PUSpring16_80X_mcRun2_asymptotic_2016_v3-v1/MINIAODSIM,27839976,1,364.311,0.0130858949,,80X_mcRun2_asymptotic_2016_v3,mc,powhegv2,none,isreHLT
ttbar_excl_SL,/TTToSemiLeptonic_13TeV_ScaleDown-powheg/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,27891808,1,364.311,0.0130615771,,80X_mcRun2_asymptotic_2016_miniAODv2_v0,mc,powhegv2,none,isreHLT
ttbar_excl_SL,/TTToSemiLeptonic_13TeV_ScaleUp-powheg/RunIISpring16MiniAODv1-PUSpring16_80X_mcRun2_asymptotic_2016_v3-v1/MINIAODSIM,27391330,1,364.311,0.0133002304,,80X_mcRun2_asymptotic_2016_v3,mc,powhegv2,none,isreHLT
ttbar_excl_SL,/TTToSemiLeptonic_13TeV_ScaleUp-powheg/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,27398424,1,364.311,0.0132967867,,80X_mcRun2_asymptotic_2016_miniAODv2_v0,mc,powhegv2,none,isreHLT
,,,,,,,,,,,
ttbar_excl_DL,/TTTo2L2Nu_13TeV-powheg/RunIISpring16MiniAODv1-PUSpring16_80X_mcRun2_asymptotic_2016_v3_ext1-v1/MINIAODSIM,103855522,1,87.335,0.0008409278,,80X_mcRun2_asymptotic_2016_v3,mc,powhegv2,none,isreHLT
ttbar_excl_DL,/TTTo2L2Nu_13TeV-powheg/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0_ext1-v1/MINIAODSIM,104607105,1,87.335,0.0008348859,,80X_mcRun2_asymptotic_2016_miniAODv2_v0,mc,powhegv2,none,isreHLT
ttbar_excl_DL,/TTTo2L2Nu_13TeV_ScaleDown-powheg/RunIISpring16MiniAODv1-PUSpring16_80X_mcRun2_asymptotic_2016_v3-v1/MINIAODSIM,5866188,1,87.335,0.0148878624,,80X_mcRun2_asymptotic_2016_v3,mc,powhegv2,none,isreHLT
ttbar_excl_DL,/TTTo2L2Nu_13TeV_ScaleDown-powheg/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,5924588,1,87.335,0.0147411094,,80X_mcRun2_asymptotic_2016_miniAODv2_v0,mc,powhegv2,none,isreHLT
ttbar_excl_DL,/TTTo2L2Nu_13TeV_ScaleUp-powheg/RunIISpring16MiniAODv1-PUSpring16_80X_mcRun2_asymptotic_2016_v3-v1/MINIAODSIM,5916240,1,87.335,0.0147619096,,80X_mcRun2_asymptotic_2016_v3,mc,powhegv2,none,isreHLT
