name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,isData,generator,additionalSelection,isreHLT
,,,,,,,,,,,
Tranche3_ttHbb,/ttHTobb_M125_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8/RunIISpring16MiniAODv2-premix_withHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,3993304,1,0.2918,0.0000730723,,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,POWHEG,NONE,FALSE
Tranche3_ttHnonbb,/ttHToNonbb_M125_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8/RunIISpring16MiniAODv2-premix_withHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,3975854,1,0.214,0.0000538249,,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,POWHEG,NONE,FALSE
,,,,,,,,,,,
ttHbb,/ttHTobb_M125_13TeV_powheg_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,3912212,1,0.2918,0.00007459,/ttHTobb_M125_13TeV_powheg_pythia8/koschwei-BoostedMiniAODICHEPv1-b33028ddd301e05587dac614603b7978/USER,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,POWHEG,NONE,TRUE
ttHnonbb,/ttHToNonbb_M125_13TeV_powheg_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,3860872,1,0.214,0.00005543,/ttHToNonbb_M125_13TeV_powheg_pythia8/koschwei-BoostedMiniAODICHEPv1-b33028ddd301e05587dac614603b7978/USER,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,POWHEG,NONE,TRUE
,,,,,,,,,,,
ttbar_incl,/TT_TuneCUETP8M1_13TeV-powheg-pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14_ext3-v1/MINIAODSIM,92925926,1,831.76,0.00895079,/TT_TuneCUETP8M1_13TeV-powheg-pythia8/koschwei-BoostedMiniAODICHEPv1-b33028ddd301e05587dac614603b7978/USER,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,POWHEG,NONE,TRUE
,,,,,,,,,,,
Zjet_m50toInf,/DYJetsToLL_M-50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14_ext1-v1/MINIAODSIM,91350867,1,6025.2,0.06595668,/DYJetsToLL_M-50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/koschwei-BoostedMiniAODICHEPv1-b33028ddd301e05587dac614603b7978/USER,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,notSpecified,NONE,TRUE
AMC_Zjet_m50toInf,/DYJetsToLL_M-50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,104113466,0.670,6025.2,0.098442808,,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,notSpecified,NONE,TRUE
,,,,,,,,,,,
st_tchan,/ST_t-channel_top_4f_leptonDecays_13TeV-powheg-pythia8_TuneCUETP8M1/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,3279200,1,45.34,0.0138265431,,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,POWHEG,NONE,FALSE
stbar_tchan,/ST_t-channel_antitop_4f_leptonDecays_13TeV-powheg-pythia8_TuneCUETP8M1/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,1682400,1,27.98,0.0166310033,,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,POWHEG,NONE,FALSE
AMC_sttbar_tchan,"/ST_t-channel_4f_leptonDecays_13TeV-amcatnlo-herwigpp_TuneEE5C/RunIISpring16MiniAODv2-premix_withHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,/ST_t-channel_4f_leptonDecays_13TeV-amcatnlo-pythia8_TuneCUETP8M1/RunIISpring16MiniAODv2-premix_withHLT_80X_mcRun2_asymptotic_v14_ext1-v1/MINIAODSIM",1682400,0.2154,27.98,0.008531752,,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,POWHEG,NONE,FALSE
,,,,,,,,,,,
st_tWchan,/ST_tW_top_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v2/MINIAODSIM,998400,1,35.6,0.0356570513,,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,POWHEG,NONE,FALSE
stbar_tWchan,/ST_t-channel_antitop_4f_leptonDecays_13TeV-powheg-pythia8_TuneCUETP8M1/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,1682400,1,35.6,0.016631,,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,POWHEG,NONE,FALSE
,,,,,,,,,,,
stbar_s-channel,/ST_s-channel_4f_leptonDecays_13TeV-amcatnlo-pythia8_TuneCUETP8M1/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,1000000,0.623,3.44,0.005521669,,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,POWHEG,NONE,FALSE
,,,,,,,,,,,
WJets-HT-100-200,"/WJetsToLNu_HT-100To200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0_ext1-v1/MINIAODSIM,/WJetsToLNu_HT-100To200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v3/MINIAODSIM",37778906,1,1345,0.0356018779,,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,notSpecified,NONE,FALSE
WJets-HT-200-400,"/WJetsToLNu_HT-200To400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,/WJetsToLNu_HT-200To400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0_ext1-v1/MINIAODSIM",19851624,1,359.7,0.0181194244,,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,notSpecified,NONE,FALSE
WJets-HT-400-600,"/WJetsToLNu_HT-400To600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,/WJetsToLNu_HT-400To600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0_ext1-v1/MINIAODSIM",7432746,1,48.91,0.0065803406,,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,notSpecified,NONE,FALSE
WJets-HT-600-800,"/WJetsToLNu_HT-600To800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,/WJetsToLNu_HT-600To800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0_ext1-v1/MINIAODSIM",18133257,1,12.05,0.0006645249,,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,notSpecified,NONE,FALSE
WJets-HT-800-1200,"/WJetsToLNu_HT-800To1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0_ext1-v1/MINIAODSIM,/WJetsToLNu_HT-800To1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v2/MINIAODSIM",7854734,1,5.501,0.000700342,,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,notSpecified,NONE,FALSE
WJets-HT-1200-2500,"/WJetsToLNu_HT-1200To2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,/WJetsToLNu_HT-1200To2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0_ext1-v1/MINIAODSIM",7063909,1,1.329,0.0001881395,,80X_mcRun2_asymptotic_2016_miniAODv2_v1,FALSE,notSpecified,NONE,FALSE
