name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,isData,generator,additionalSelection,run
,,,,,,,,,,,
WJetsToLNu_HT-70To100_TuneCP5_13TeV-madgraphMLM-pythia8,/WJetsToLNu_HT-70To100_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,28084244,0.999000365184,1319.0,0.0470128317386,/WJetsToLNu_HT-70To100_TuneCP5_13TeV-madgraphMLM-pythia8/mschrode-KIT_tthbb_skims_MC_94X_LEG_2018-b9899da800e5578fdd124c7a0a5f7739/USER,94X_mc2017_realistic_v17,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
WJetsToLNu_HT-100To200_TuneCP5_13TeV-madgraphMLM-pythia8,/WJetsToLNu_HT-100To200_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,29521158,0.998298238375,1345.0,0.0456382087429,/WJetsToLNu_HT-100To200_TuneCP5_13TeV-madgraphMLM-pythia8/vanderli-KIT_tthbb_sl_skims_MC_102X_LEG_2018-b9899da800e5578fdd124c7a0a5f7739/USER,94X_mc2017_realistic_v17,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
WJetsToLNu_HT-200To400_TuneCP5_13TeV-madgraphMLM-pythia8,/WJetsToLNu_HT-200To400_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,25468933,0.997966748942,359.7,0.0141518629962,/WJetsToLNu_HT-200To400_TuneCP5_13TeV-madgraphMLM-pythia8/mschrode-KIT_tthbb_skims_MC_94X_LEG_2018-b9899da800e5578fdd124c7a0a5f7739/USER,94X_mc2017_realistic_v17,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
WJetsToLNu_HT-400To600_TuneCP5_13TeV-madgraphMLM-pythia8,/WJetsToLNu_HT-400To600_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,5932701,0.996532109793,48.91,0.00827282628291,/WJetsToLNu_HT-400To600_TuneCP5_13TeV-madgraphMLM-pythia8/mschrode-KIT_tthbb_skims_MC_94X_LEG_2018-b9899da800e5578fdd124c7a0a5f7739/USER,94X_mc2017_realistic_v17,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
WJetsToLNu_HT-600To800_TuneCP5_13TeV-madgraphMLM-pythia8,/WJetsToLNu_HT-600To800_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,19771294,0.996008691943,12.05,0.000611911794663,/WJetsToLNu_HT-600To800_TuneCP5_13TeV-madgraphMLM-pythia8/mschrode-KIT_tthbb_skims_MC_94X_LEG_2018-b9899da800e5578fdd124c7a0a5f7739/USER,94X_mc2017_realistic_v17,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
WJetsToLNu_HT-800To1200_TuneCP5_13TeV-madgraphMLM-pythia8,/WJetsToLNu_HT-800To1200_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,8402687,0.994791713291,5.501,0.000658099104244,/WJetsToLNu_HT-800To1200_TuneCP5_13TeV-madgraphMLM-pythia8/mschrode-KIT_tthbb_skims_MC_94X_LEG_2018-b9899da800e5578fdd124c7a0a5f7739/USER,94X_mc2017_realistic_v17,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
