name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,isData,generator,additionalSelection,run
,,,,,,,,,,,
DYJetsToLL_M-4to50_HT-70to100_TuneCP5_PSweights_13TeV-madgraphMLM-pythia8,/DYJetsToLL_M-4to50_HT-70to100_TuneCP5_PSweights_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,8988863,0.99898454885,302.2,0.0336535534322,/DYJetsToLL_M-4to50_HT-70to100_TuneCP5_PSweights_13TeV-madgraphMLM-pythia8/vanderli-KIT_tthbb_sl_skims_MC_102X_LEG_2018-b9899da800e5578fdd124c7a0a5f7739/USER,94X_mc2017_realistic_v17,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
DYJetsToLL_M-4to50_HT-100to200_TuneCP5_PSweights_13TeV-madgraphMLM-pythia8,/DYJetsToLL_M-4to50_HT-100to200_TuneCP5_PSweights_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,6794838,0.99862768909,224.2,0.0330409782997,/DYJetsToLL_M-4to50_HT-100to200_TuneCP5_PSweights_13TeV-madgraphMLM-pythia8/vanderli-KIT_tthbb_sl_skims_MC_102X_LEG_2018-b9899da800e5578fdd124c7a0a5f7739/USER,94X_mc2017_realistic_v17,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
DYJetsToLL_M-4to50_HT-200to400_TuneCP5_PSweights_13TeV-madgraphMLM-pythia8,/DYJetsToLL_M-4to50_HT-200to400_TuneCP5_PSweights_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,1939010,0.997647691403,37.2,0.0192302836014,/DYJetsToLL_M-4to50_HT-200to400_TuneCP5_PSweights_13TeV-madgraphMLM-pythia8/vanderli-KIT_tthbb_sl_skims_MC_102X_LEG_2018-b9899da800e5578fdd124c7a0a5f7739/USER,94X_mc2017_realistic_v17,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
DYJetsToLL_M-4to50_HT-400to600_TuneCP5_PSweights_13TeV-madgraphMLM-pythia8,/DYJetsToLL_M-4to50_HT-400to600_TuneCP5_PSweights_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,2008779,0.996557477143,3.581,0.00178883304697,/DYJetsToLL_M-4to50_HT-400to600_TuneCP5_PSweights_13TeV-madgraphMLM-pythia8/vanderli-KIT_tthbb_sl_skims_MC_102X_LEG_2018-b9899da800e5578fdd124c7a0a5f7739/USER,94X_mc2017_realistic_v17,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
DYJetsToLL_M-4to50_HT-600toInf_TuneCP5_PSWeights_13TeV-madgraphMLM-pythia8,/DYJetsToLL_M-4to50_HT-600toInf_TuneCP5_PSWeights_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,1975490,0.994319423202,1.124,0.000572223319702,/DYJetsToLL_M-4to50_HT-600toInf_TuneCP5_PSWeights_13TeV-madgraphMLM-pythia8/vanderli-KIT_tthbb_sl_skims_MC_102X_LEG_2018-b9899da800e5578fdd124c7a0a5f7739/USER,94X_mc2017_realistic_v17,FALSE,MadGraph,NONE,2018
