name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,isData,generator,additionalSelection,run
,,,,,,,,,,,
ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8_new_pmx,/ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_new_pmx_94X_mc2017_realistic_v14-v1/MINIAODSIM,7966779,0.563444666673,0.2118,4.71836912581E-05,/ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8/swieland-KIT_tthbb_sl_skims_MC_94X_LEG_2017-e1e3ed1788247eabd21100337ab8418d/USER,94X_mc2017_realistic_v17,FALSE,POWHEG,NONE,2017
ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8_new_pmx,/ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_new_pmx_94X_mc2017_realistic_v14-v1/MINIAODSIM,8000000,0.527195672605,0.2953,7.00166976289E-05,/ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8/swieland-KIT_tthbb_sl_skims_MC_94X_LEG_2017_v2-e1e3ed1788247eabd21100337ab8418d/USER,94X_mc2017_realistic_v17,FALSE,POWHEG,NONE,2017
,,,,,,,,,,,
TTToSemiLeptonic_TuneCP5_PSweights_13TeV-powheg-pythia8,/TTToSemiLeptonic_TuneCP5_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v2/MINIAODSIM,110014744,300.770043012,365.46,1.10447115851E-05,/TTToSemiLeptonic_TuneCP5_PSweights_13TeV-powheg-pythia8/vanderli-KIT_tthbb_sl_skims_MC_94X_LEG_2017-e1e3ed1788247eabd21100337ab8418d/USER,94X_mc2017_realistic_v17,FALSE,POWHEG,NONE,2017
,,,,,,,,,,,
TTTo2L2Nu_TuneCP5_PSweights_13TeV-powheg-pythia8,/TTTo2L2Nu_TuneCP5_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,66979742,72.094257864,88.34,1.82941926846E-05,/TTTo2L2Nu_TuneCP5_PSweights_13TeV-powheg-pythia8/vanderli-KIT_tthbb_sl_skims_MC_94X_LEG_2017-e1e3ed1788247eabd21100337ab8418d/USER,94X_mc2017_realistic_v17,FALSE,POWHEG,NONE,2017
,,,,,,,,,,,
,,,,,,,,,,,
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8_new_pmx,/TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_new_pmx_94X_mc2017_realistic_v14-v1/MINIAODSIM,130262440,313.616699407,377.96,9.25182589841E-06,/TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8/swieland-KIT_tthbb_sl_skims_MC_94X_LEG_2017-e1e3ed1788247eabd21100337ab8418d/USER,94X_mc2017_realistic_v17,FALSE,POWHEG,NONE,2017
