name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,isData,generator,additionalSelection,run
,,,,,,,,,,,
TTbb_4f_TTTo2l2nu_hdampDOWN_TuneCP5-Powheg-Openloops-Pythia8_v2,/TTbb_4f_TTTo2l2nu_hdampDOWN_TuneCP5-Powheg-Openloops-Pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v2/MINIAODSIM,2137500,4.34235739834,88.34,0.00951756181712,,94X_mc2017_realistic_v17,FALSE,notSpecified,NONE,
TTbb_4f_TTTo2l2nu_hdampDOWN_TuneCP5-Powheg-Openloops-Pythia8,/TTbb_4f_TTTo2l2nu_hdampDOWN_TuneCP5-Powheg-Openloops-Pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,2137500,4.35046035055,88.34,0.00949983487737,,94X_mc2017_realistic_v17,FALSE,notSpecified,NONE,
TTbb_4f_TTTo2l2nu_hdampDOWN_TuneCP5-Powheg-Openloops-Pythia8,/TTbb_4f_TTTo2l2nu_hdampDOWN_TuneCP5-Powheg-Openloops-Pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v1/MINIAODSIM,2135700,4.3514157559,88.34,0.00950575392046,,94X_mc2017_realistic_v17,FALSE,notSpecified,NONE,
TTbb_4f_TTTo2l2nu_hdampUP_TuneCP5-Powheg-Openloops-Pythia8_v2,/TTbb_4f_TTTo2l2nu_hdampUP_TuneCP5-Powheg-Openloops-Pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v2/MINIAODSIM,2374000,4.42535333892,88.34,0.00840869747699,,94X_mc2017_realistic_v17,FALSE,notSpecified,NONE,
TTbb_4f_TTTo2l2nu_hdampUP_TuneCP5-Powheg-Openloops-Pythia8,/TTbb_4f_TTTo2l2nu_hdampUP_TuneCP5-Powheg-Openloops-Pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,2394000,4.42494740705,88.34,0.00833921432299,,94X_mc2017_realistic_v17,FALSE,notSpecified,NONE,
TTbb_4f_TTTo2l2nu_hdampUP_TuneCP5-Powheg-Openloops-Pythia8,/TTbb_4f_TTTo2l2nu_hdampUP_TuneCP5-Powheg-Openloops-Pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v1/MINIAODSIM,2378000,4.4322104007,88.34,0.00838156613373,,94X_mc2017_realistic_v17,FALSE,notSpecified,NONE,
TTbb_4f_TTToHadronic_hdampDOWN_TuneCP5-Powheg-Openloops-Pythia8,/TTbb_4f_TTToHadronic_hdampDOWN_TuneCP5-Powheg-Openloops-Pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,2307693,18.878013571,377.96,0.00867583959062,/TTbb_4f_TTToHadronic_hdampDOWN_TuneCP5-Powheg-Openloops-Pythia8/vanderli-KIT_tthbb_sl_skims_MC_102X_LEG_2018-b9899da800e5578fdd124c7a0a5f7739/USER,94X_mc2017_realistic_v17,FALSE,notSpecified,NONE,
TTbb_4f_TTToHadronic_hdampDOWN_TuneCP5-Powheg-Openloops-Pythia8,/TTbb_4f_TTToHadronic_hdampDOWN_TuneCP5-Powheg-Openloops-Pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,2391790,18.8820452993,377.96,0.00836900368981,/TTbb_4f_TTToHadronic_hdampDOWN_TuneCP5-Powheg-Openloops-Pythia8/vanderli-KIT_tthbb_sl_skims_MC_94X_LEG_2017-b70690b7b6fc71d746623b5619522fbd/USER,94X_mc2017_realistic_v17,FALSE,notSpecified,NONE,
TTbb_4f_TTToHadronic_hdampDOWN_TuneCP5-Powheg-Openloops-Pythia8,/TTbb_4f_TTToHadronic_hdampDOWN_TuneCP5-Powheg-Openloops-Pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v1/MINIAODSIM,2277290,18.8413914826,377.96,0.00880875493654,/TTbb_4f_TTToHadronic_hdampDOWN_TuneCP5-Powheg-Openloops-Pythia8/vanderli-KIT_tthbb_sl_skims_MC_94X_LEG_2016-02f8437fbb1c97dec11be63ba422ffbd/USER,94X_mc2017_realistic_v17,FALSE,notSpecified,NONE,
TTbb_4f_TTToHadronic_hdampUP_TuneCP5-Powheg-Openloops-Pythia8,/TTbb_4f_TTToHadronic_hdampUP_TuneCP5-Powheg-Openloops-Pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,2135600,19.268205711,377.96,0.00918511617805,,94X_mc2017_realistic_v17,FALSE,notSpecified,NONE,
TTbb_4f_TTToHadronic_hdampUP_TuneCP5-Powheg-Openloops-Pythia8,/TTbb_4f_TTToHadronic_hdampUP_TuneCP5-Powheg-Openloops-Pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,2119200,19.2560714672,377.96,0.00926203048114,,94X_mc2017_realistic_v17,FALSE,notSpecified,NONE,
TTbb_4f_TTToHadronic_hdampUP_TuneCP5-Powheg-Openloops-Pythia8,/TTbb_4f_TTToHadronic_hdampUP_TuneCP5-Powheg-Openloops-Pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v1/MINIAODSIM,2007900,19.2815975422,377.96,0.00976249325541,,94X_mc2017_realistic_v17,FALSE,notSpecified,NONE,
