name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,isData,generator,additionalSelection,run
,,,,,,,,,,,
ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8_new_pmx,/ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_new_pmx_94X_mc2017_realistic_v14-v1/MINIAODSIM,7966779,0.563444666673,0.2118,4.71836912581E-05,/ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8/swieland-KIT_tthbb_sl_skims_MC_94X_LEG_2017-e1e3ed1788247eabd21100337ab8418d/USER,94X_mc2017_realistic_v17,FALSE,POWHEG,NONE,2017
ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8_new_pmx,/ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_new_pmx_94X_mc2017_realistic_v14-v1/MINIAODSIM,8000000,0.527195672605,0.2953,7.00166976289E-05,/ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8/swieland-KIT_tthbb_sl_skims_MC_94X_LEG_2017_v2-e1e3ed1788247eabd21100337ab8418d/USER,94X_mc2017_realistic_v17,FALSE,POWHEG,NONE,2017
,,,,,,,,,,,
TTbb_Powheg_Openloops_new_pmx,/TTbb_Powheg_Openloops/mhorzela-RunIIFall17MiniAODv2-PU2017_12Apr2018_new_pmx_94X_mc2017_realistic_v14-v1-corrected-5f646ecd4e1c7a39ab0ed099ff55ceb9/USER,5527979,27.2523031304,1,6.63789539912E-06,/TTbb_Powheg_Openloops/mhorzela-RunIIFall17MiniAODv2-PU2017_12Apr2018_new_pmx_94X_mc2017_realistic_v14-v1-corrected-5f646ecd4e1c7a39ab0ed099ff55ceb9/USER,94X_mc2017_realistic_v17,FALSE,notSpecified,NONE,2017
,,,,,,,,,,,
TTToSemiLeptonic_TuneCP5_PSweights_13TeV-powheg-pythia8,/TTToSemiLeptonic_TuneCP5_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v2/MINIAODSIM,110014744,300.770043012,365.46,1.10447115851E-05,/TTToSemiLeptonic_TuneCP5_PSweights_13TeV-powheg-pythia8/vanderli-KIT_tthbb_sl_skims_MC_94X_LEG_2017-e1e3ed1788247eabd21100337ab8418d/USER,94X_mc2017_realistic_v17,FALSE,POWHEG,NONE,2017
TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8_new_pmx,/TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_new_pmx_94X_mc2017_realistic_v14-v1/MINIAODSIM,43732445,300.737892932,365.46,2.77874016558E-05,/TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8/vanderli-KIT_tthbb_sl_skims_MC_94X_LEG_2017-e1e3ed1788247eabd21100337ab8418d/USER,94X_mc2017_realistic_v17,FALSE,POWHEG,NONE,2017
,,,,,,,,,,,
TTZToLLNuNu_M-10_TuneCP5_13TeV-amcatnlo-pythia8_v2,/TTZToLLNuNu_M-10_TuneCP5_13TeV-amcatnlo-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v2/MINIAODSIM,7932650,0.245022995671,0.2529,0.000130113898971,/TTZToLLNuNu_M-10_TuneCP5_13TeV-amcatnlo-pythia8/vanderli-KIT_tthbb_sl_skims_MC_94X_LEG_2017-e1e3ed1788247eabd21100337ab8418d/USER,94X_mc2017_realistic_v17,FALSE,aMC,NONE,2017
