name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,isData,generator,additionalSelection,run
,,,,,,,,,,,
ST_s-channel_4f_leptonDecays_TuneCP5_13TeV-madgraph-pythia8,/ST_s-channel_4f_leptonDecays_TuneCP5_13TeV-madgraph-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15_ext1-v4/MINIAODSIM,19952000,3.74784507343,3.36,4.49335996309E-05,/ST_s-channel_4f_leptonDecays_TuneCP5_13TeV-madgraph-pythia8/mschrode-KIT_tthbb_skims_MC_94X_LEG_2018-b9899da800e5578fdd124c7a0a5f7739/USER,102X_upgrade2018_realistic_v19,FALSE,MadGraph,NONE,2018
,,,,,,,,,,,
ST_t-channel_top_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8,/ST_t-channel_top_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,154307600,107.623988075,136.02,8.19042377491E-06,/ST_t-channel_top_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8/mschrode-KIT_tthbb_skims_MC_94X_LEG_2018_v2-b9899da800e5578fdd124c7a0a5f7739/USER,102X_upgrade2018_realistic_v19,FALSE,POWHEG,NONE,2018
,,,,,,,,,,,
ST_t-channel_antitop_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8,/ST_t-channel_antitop_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,79090800,64.809231682,80.95,1.57926136801E-05,/ST_t-channel_antitop_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8/mschrode-KIT_tthbb_skims_MC_94X_LEG_2018_v2-b9899da800e5578fdd124c7a0a5f7739/USER,102X_upgrade2018_realistic_v19,FALSE,POWHEG,NONE,2018
,,,,,,,,,,,
ST_tW_top_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8,/ST_tW_top_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15_ext1-v1/MINIAODSIM,9598000,34.9141643519,35.85,0.000106981026934,/ST_tW_top_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8/mschrode-KIT_tthbb_skims_MC_94X_LEG_2018-b9899da800e5578fdd124c7a0a5f7739/USER,102X_upgrade2018_realistic_v19,FALSE,POWHEG,NONE,2018
,,,,,,,,,,,
ST_tW_antitop_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8,/ST_tW_antitop_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15_ext1-v1/MINIAODSIM,7623000,34.9427489627,35.85,0.000134587948124,/ST_tW_antitop_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8/mschrode-KIT_tthbb_skims_MC_94X_LEG_2018-b9899da800e5578fdd124c7a0a5f7739/USER,102X_upgrade2018_realistic_v19,FALSE,POWHEG,NONE,2018
