name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,isData,generator,additionalSelection,run
,,,,,,,,,,,
ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8,/ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v3/MINIAODSIM,11835999,0.527530776222,0.2953,4.72945094976E-05,/ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8/mschrode-KIT_tthbb_skims_MC_94X_LEG_2018_v2-b9899da800e5578fdd124c7a0a5f7739/USER,102X_upgrade2018_realistic_v19,FALSE,POWHEG,NONE,2018
,,,,,,,,,,,
ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8,/ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v2/MINIAODSIM,7525991,0.52687804476,0.2118,5.3413638084E-05,/ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8/mschrode-KIT_tthbb_skims_MC_94X_LEG_2018-b9899da800e5578fdd124c7a0a5f7739/USER,102X_upgrade2018_realistic_v19,FALSE,POWHEG,NONE,2018
,,,,,,,,,,,
TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8,/TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,101550000,300.745639286,365.46,1.19663191947E-05,/TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8/mschrode-KIT_tthbb_skims_MC_94X_LEG_2018-b9899da800e5578fdd124c7a0a5f7739/USER,102X_upgrade2018_realistic_v19,FALSE,POWHEG,NONE,2018
,,,,,,,,,,,
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,64310000,72.061443662,88.34,1.90623275109E-05,/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/mschrode-KIT_tthbb_skims_MC_94X_LEG_2018_v2-b9899da800e5578fdd124c7a0a5f7739/USER,102X_upgrade2018_realistic_v19,FALSE,POWHEG,NONE,2018
,,,,,,,,,,,
TTToHadronic_TuneCP5_13TeV-powheg-pythia8,/TTToHadronic_TuneCP5_13TeV-powheg-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,133808000,313.52465,377.96,9.00932116952E-06,/TTToHadronic_TuneCP5_13TeV-powheg-pythia8/mschrode-KIT_tthbb_skims_MC_94X_LEG_2018_v2-b9899da800e5578fdd124c7a0a5f7739/USER,102X_upgrade2018_realistic_v19,FALSE,POWHEG,NONE,2018
,,,,,,,,,,,
TTZToLLNuNu_M-10_TuneCP5_13TeV-amcatnlo-pythia8,/TTZToLLNuNu_M-10_TuneCP5_13TeV-amcatnlo-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15_ext1-v2/MINIAODSIM,13280000,0.242366157227,0.2589,8.04381360451E-05,/TTZToLLNuNu_M-10_TuneCP5_13TeV-amcatnlo-pythia8/mschrode-KIT_tthbb_skims_MC_94X_LEG_2018-b9899da800e5578fdd124c7a0a5f7739/USER,102X_upgrade2018_realistic_v19,FALSE,aMC,NONE,2018
,,,,,,,,,,,
TTZToBB_TuneCP5_13TeV-amcatnlo-pythia8,/TTZToBB_TuneCP5_13TeV-amcatnlo-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,9782000,0.112065666118,0.13,0.000118588647753,/TTZToBB_TuneCP5_13TeV-amcatnlo-pythia8/mschrode-KIT_tthbb_skims_MC_94X_LEG_2018-b9899da800e5578fdd124c7a0a5f7739/USER,102X_upgrade2018_realistic_v19,FALSE,aMC,NONE,2018
